"long","lat","order","piece","id","group"
127.095869857808,37.6098607690593,2,"1","4564","4564.1"
127.095754846209,37.6095505793958,3,"1","4564","4564.1"
127.095644377986,37.6092936547784,4,"1","4564","4564.1"
127.073168094232,37.5448792338896,1,"1","4565","4565.1"
127.073502969387,37.5456313351181,2,"1","4565","4565.1"
127.073698159143,37.5460572504418,3,"1","4565","4565.1"
127.073891393773,37.5463789963936,4,"1","4565","4565.1"
127.074093754723,37.5468403270195,5,"1","4565","4565.1"
127.074197989745,37.5470419757067,6,"1","4565","4565.1"
127.074354609378,37.5471027267095,7,"1","4565","4565.1"
127.074532185012,37.5470497980098,8,"1","4565","4565.1"
127.056219839674,37.6467810471077,1,"1","4566","4566.1"
127.056442637718,37.6462608117871,2,"1","4566","4566.1"
127.056452531159,37.6462177486503,3,"1","4566","4566.1"
127.05645250328,37.6461808989294,4,"1","4566","4566.1"
127.056444966962,37.6457493448564,5,"1","4566","4566.1"
127.066810117593,37.6569870006496,1,"1","4567","4567.1"
127.066807582404,37.6570225778298,2,"1","4567","4567.1"
127.066813901041,37.6570569499183,3,"1","4567","4567.1"
127.066826452879,37.6570785012719,4,"1","4567","4567.1"
127.066847859441,37.6571017199685,5,"1","4567","4567.1"
127.066873114203,37.6571200670375,6,"1","4567","4567.1"
127.066899053349,37.6571360848625,7,"1","4567","4567.1"
127.072365744284,37.6601682273819,1,"1","4568","4568.1"
127.071993386286,37.6604901855737,2,"1","4568","4568.1"
127.071456833666,37.6609715827724,3,"1","4568","4568.1"
126.937675270697,37.470968625102,1,"1","4569","4569.1"
126.937684407809,37.4710296665859,2,"1","4569","4569.1"
127.122945898634,37.513546453606,1,"1","4570","4570.1"
127.123087892592,37.5134897081836,2,"1","4570","4570.1"
126.894067425271,37.4536965399634,1,"1","4571","4571.1"
126.893532611941,37.4547687090088,2,"1","4571","4571.1"
127.046252664229,37.4957094278479,1,"1","4572","4572.1"
127.045725569779,37.4968515830342,2,"1","4572","4572.1"
127.112498370104,37.5354932857866,1,"1","4573","4573.1"
127.111952441152,37.535048367788,2,"1","4573","4573.1"
127.111869321312,37.5349639043607,3,"1","4573","4573.1"
127.111670543261,37.5347556690389,4,"1","4573","4573.1"
127.111547108612,37.5345803866755,5,"1","4573","4573.1"
127.111340097268,37.5342416903018,6,"1","4573","4573.1"
127.111253318086,37.5340997637931,7,"1","4573","4573.1"
127.111075120121,37.5337136218862,8,"1","4573","4573.1"
127.110843511419,37.5331444733388,9,"1","4573","4573.1"
127.11082006969,37.533030234258,10,"1","4573","4573.1"
127.110778767426,37.5328619198418,11,"1","4573","4573.1"
127.110726811793,37.5325874521492,12,"1","4573","4573.1"
127.110690505263,37.5325207197554,13,"1","4573","4573.1"
